Month,Permits (1000's),% Change
1/1/1996,1387,
2/1/1996,1420,2.38%
3/1/1996,1437,1.20%
4/1/1996,1463,1.81%
5/1/1996,1457,-0.41%
6/1/1996,1429,-1.92%
7/1/1996,1450,1.47%
8/1/1996,1413,-2.55%
9/1/1996,1392,-1.49%
10/1/1996,1358,-2.44%
11/1/1996,1412,3.98%
12/1/1996,1411,-0.07%
1/1/1997,1382,-2.06%
2/1/1997,1445,4.56%
3/1/1997,1436,-0.62%
4/1/1997,1421,-1.04%
5/1/1997,1414,-0.49%
6/1/1997,1402,-0.85%
7/1/1997,1440,2.71%
8/1/1997,1449,0.63%
9/1/1997,1494,3.11%
10/1/1997,1499,0.33%
11/1/1997,1469,-2.00%
12/1/1997,1456,-0.88%
1/1/1998,1555,6.80%
2/1/1998,1647,5.92%
3/1/1998,1605,-2.55%
4/1/1998,1547,-3.61%
5/1/1998,1554,0.45%
6/1/1998,1551,-0.19%
7/1/1998,1610,3.80%
8/1/1998,1654,2.73%
9/1/1998,1577,-4.66%
10/1/1998,1719,9.00%
11/1/1998,1672,-2.73%
12/1/1998,1742,4.19%
1/1/1999,1732,-0.57%
2/1/1999,1720,-0.69%
3/1/1999,1665,-3.20%
4/1/1999,1600,-3.90%
5/1/1999,1640,2.50%
6/1/1999,1702,3.78%
7/1/1999,1682,-1.18%
8/1/1999,1671,-0.65%
9/1/1999,1551,-7.18%
10/1/1999,1649,6.32%
11/1/1999,1672,1.39%
12/1/1999,1683,0.66%
1/1/2000,1727,2.61%
2/1/2000,1692,-2.03%
3/1/2000,1651,-2.42%
4/1/2000,1597,-3.27%
5/1/2000,1543,-3.38%
6/1/2000,1572,1.88%
7/1/2000,1542,-1.91%
8/1/2000,1552,0.65%
9/1/2000,1570,1.16%
10/1/2000,1577,0.45%
11/1/2000,1614,2.35%
12/1/2000,1543,-4.40%
1/1/2001,1699,10.11%
2/1/2001,1656,-2.53%
3/1/2001,1659,0.18%
4/1/2001,1666,0.42%
5/1/2001,1665,-0.06%
6/1/2001,1626,-2.34%
7/1/2001,1598,-1.72%
8/1/2001,1615,1.06%
9/1/2001,1565,-3.10%
10/1/2001,1566,0.06%
11/1/2001,1651,5.43%
12/1/2001,1680,1.76%
1/1/2002,1665,-0.89%
2/1/2002,1787,7.33%
3/1/2002,1691,-5.37%
4/1/2002,1669,-1.30%
5/1/2002,1716,2.82%
6/1/2002,1758,2.45%
7/1/2002,1738,-1.14%
