DATE,Rate,Change,% Change,Real GDP
7/1/1954,0.80%,,,
8/1/1954,1.22%,0.42,52.50%,
9/1/1954,1.07%,-0.15,-12.30%,
10/1/1954,0.85%,-0.22,-20.56%,7.83%
11/1/1954,0.83%,-0.02,-2.35%,
12/1/1954,1.28%,0.45,54.22%,
1/1/1955,1.39%,0.11,8.59%,11.42%
2/1/1955,1.29%,-0.1,-7.19%,
3/1/1955,1.35%,0.06,4.65%,
4/1/1955,1.43%,0.08,5.93%,6.51%
5/1/1955,1.43%,0,0.00%,
6/1/1955,1.64%,0.21,14.69%,
7/1/1955,1.68%,0.04,2.44%,5.40%
8/1/1955,1.96%,0.28,16.67%,
9/1/1955,2.18%,0.22,11.22%,
10/1/1955,2.24%,0.06,2.75%,2.40%
11/1/1955,2.35%,0.11,4.91%,
12/1/1955,2.48%,0.13,5.53%,
1/1/1956,2.45%,-0.03,-1.21%,-1.55%
2/1/1956,2.50%,0.05,2.04%,
3/1/1956,2.50%,0,0.00%,
4/1/1956,2.62%,0.12,4.80%,3.31%
5/1/1956,2.75%,0.13,4.96%,
6/1/1956,2.71%,-0.04,-1.45%,
7/1/1956,2.75%,0.04,1.48%,-0.36%
8/1/1956,2.73%,-0.02,-0.73%,
9/1/1956,2.95%,0.22,8.06%,
10/1/1956,2.96%,0.01,0.34%,6.58%
11/1/1956,2.88%,-0.08,-2.70%,
12/1/1956,2.94%,0.06,2.08%,
1/1/1957,2.84%,-0.1,-3.40%,2.56%
2/1/1957,3.00%,0.16,5.63%,
3/1/1957,2.96%,-0.04,-1.33%,
4/1/1957,3.00%,0.04,1.35%,-0.88%
5/1/1957,3.00%,0,0.00%,
6/1/1957,3.00%,0,0.00%,
7/1/1957,2.99%,-0.01,-0.33%,3.92%
8/1/1957,3.24%,0.25,8.36%,
9/1/1957,3.47%,0.23,7.10%,
10/1/1957,3.50%,0.03,0.86%,-4.14%
11/1/1957,3.28%,-0.22,-6.29%,
12/1/1957,2.98%,-0.3,-9.15%,
1/1/1958,2.72%,-0.26,-8.72%,-10.38%
2/1/1958,1.67%,-1.05,-38.60%,
3/1/1958,1.20%,-0.47,-28.14%,
4/1/1958,1.26%,0.06,5.00%,2.63%
5/1/1958,0.63%,-0.63,-50.00%,
6/1/1958,0.93%,0.3,47.62%,
7/1/1958,0.68%,-0.25,-26.88%,9.26%
8/1/1958,1.53%,0.85,125.00%,
9/1/1958,1.76%,0.23,15.03%,
10/1/1958,1.80%,0.04,2.27%,9.36%
11/1/1958,2.27%,0.47,26.11%,
12/1/1958,2.42%,0.15,6.61%,
1/1/1959,2.48%,0.06,2.48%,7.69%
2/1/1959,2.43%,-0.05,-2.02%,
3/1/1959,2.80%,0.37,15.23%,
4/1/1959,2.96%,0.16,5.71%,9.03%
5/1/1959,2.90%,-0.06,-2.03%,
6/1/1959,3.39%,0.49,16.90%,
7/1/1959,3.47%,0.08,2.36%,0.28%
8/1/1959,3.50%,0.03,0.86%,
9/1/1959,3.76%,0.26,7.43%,
10/1/1959,3.98%,0.22,5.85%,1.14%
11/1/1959,4.00%,0.02,0.50%,
12/1/1959,3.99%,-0.01,-0.25%,
1/1/1960,3.99%,0,0.00%,8.99%
2/1/1960,3.97%,-0.02,-0.50%,
3/1/1960,3.84%,-0.13,-3.27%,
4/1/1960,3.92%,0.08,2.08%,-2.16%
5/1/1960,3.85%,-0.07,-1.79%,
6/1/1960,3.32%,-0.53,-13.77%,
7/1/1960,3.23%,-0.09,-2.71%,1.96%
8/1/1960,2.98%,-0.25,-7.74%,
9/1/1960,2.60%,-0.38,-12.75%,
10/1/1960,2.47%,-0.13,-5.00%,-5.13%
11/1/1960,2.44%,-0.03,-1.21%,
12/1/1960,1.98%,-0.46,-18.85%,
1/1/1961,1.45%,-0.53,-26.77%,2.70%
2/1/1961,2.54%,1.09,75.17%,
3/1/1961,2.02%,-0.52,-20.47%,
4/1/1961,1.49%,-0.53,-26.24%,6.79%
5/1/1961,1.98%,0.49,32.89%,
6/1/1961,1.73%,-0.25,-12.63%,
7/1/1961,1.17%,-0.56,-32.37%,7.68%
8/1/1961,2.00%,0.83,70.94%,
9/1/1961,1.88%,-0.12,-6.00%,
10/1/1961,2.26%,0.38,20.21%,7.84%
11/1/1961,2.61%,0.35,15.49%,
12/1/1961,2.33%,-0.28,-10.73%,
1/1/1962,2.15%,-0.18,-7.73%,7.13%
2/1/1962,2.37%,0.22,10.23%,
3/1/1962,2.85%,0.48,20.25%,
4/1/1962,2.78%,-0.07,-2.46%,3.61%
5/1/1962,2.36%,-0.42,-15.11%,
6/1/1962,2.68%,0.32,13.56%,
7/1/1962,2.71%,0.03,1.12%,4.91%
8/1/1962,2.93%,0.22,8.12%,
9/1/1962,2.90%,-0.03,-1.02%,
10/1/1962,2.90%,0,0.00%,1.32%
11/1/1962,2.94%,0.04,1.38%,
12/1/1962,2.93%,-0.01,-0.34%,
1/1/1963,2.92%,-0.01,-0.34%,4.37%
2/1/1963,3.00%,0.08,2.74%,
3/1/1963,2.98%,-0.02,-0.67%,
4/1/1963,2.90%,-0.08,-2.68%,4.49%
5/1/1963,3.00%,0.1,3.45%,
6/1/1963,2.99%,-0.01,-0.33%,
7/1/1963,3.02%,0.03,1.00%,8.79%
8/1/1963,3.49%,0.47,15.56%,
9/1/1963,3.48%,-0.01,-0.29%,
10/1/1963,3.50%,0.02,0.57%,2.62%
11/1/1963,3.48%,-0.02,-0.57%,
12/1/1963,3.38%,-0.1,-2.87%,
1/1/1964,3.48%,0.1,2.96%,8.43%
2/1/1964,3.48%,0,0.00%,
3/1/1964,3.43%,-0.05,-1.44%,
4/1/1964,3.47%,0.04,1.17%,4.35%
5/1/1964,3.50%,0.03,0.86%,
6/1/1964,3.50%,0,0.00%,
7/1/1964,3.42%,-0.08,-2.29%,6.25%
8/1/1964,3.50%,0.08,2.34%,
9/1/1964,3.45%,-0.05,-1.43%,
10/1/1964,3.36%,-0.09,-2.61%,1.24%
11/1/1964,3.52%,0.16,4.76%,
12/1/1964,3.85%,0.33,9.38%,
1/1/1965,3.90%,0.05,1.30%,9.68%
2/1/1965,3.98%,0.08,2.05%,
3/1/1965,4.05%,0.07,1.76%,
4/1/1965,4.09%,0.04,0.99%,5.05%
5/1/1965,4.10%,0.01,0.24%,
6/1/1965,4.05%,-0.05,-1.22%,
7/1/1965,4.09%,0.04,0.99%,8.89%
8/1/1965,4.12%,0.03,0.73%,
9/1/1965,4.02%,-0.1,-2.43%,
10/1/1965,4.08%,0.06,1.49%,9.22%
11/1/1965,4.10%,0.02,0.49%,
12/1/1965,4.32%,0.22,5.37%,
1/1/1966,4.42%,0.1,2.31%,9.74%
2/1/1966,4.60%,0.18,4.07%,
3/1/1966,4.66%,0.06,1.30%,
