DATE,M2,Change,% Change,Annualised change
1/5/1981,1596.6,,,
1/12/1981,1600.1,3.5,0.219%,11.399%
1/19/1981,1606.8,6.7,0.419%,21.774%
1/26/1981,1609.4,2.6,0.162%,8.414%
2/2/1981,1608.6,-0.8,-0.050%,-2.585%
2/9/1981,1614,5.4,0.336%,17.456%
2/16/1981,1618.9,4.9,0.304%,15.787%
2/23/1981,1623.3,4.4,0.272%,14.133%
3/2/1981,1626.1,2.8,0.172%,8.969%
3/9/1981,1630.5,4.4,0.271%,14.070%
3/16/1981,1636.2,5.7,0.350%,18.178%
3/23/1981,1640.8,4.6,0.281%,14.619%
3/30/1981,1646.7,5.9,0.360%,18.698%
4/6/1981,1652.3,5.6,0.340%,17.684%
4/13/1981,1658.4,6.1,0.369%,19.197%
4/20/1981,1663.4,5,0.301%,15.678%
4/27/1981,1664.1,0.7,0.042%,2.188%
5/4/1981,1663.9,-0.2,-0.012%,-0.625%
5/11/1981,1663.8,-0.1,-0.006%,-0.313%
5/18/1981,1662.6,-1.2,-0.072%,-3.750%
5/25/1981,1663.3,0.7,0.042%,2.189%
6/1/1981,1666.1,2.8,0.168%,8.754%
6/8/1981,1666.4,0.3,0.018%,0.936%
6/15/1981,1669.8,3.4,0.204%,10.610%
6/22/1981,1672.8,3,0.180%,9.342%
6/29/1981,1671.9,-0.9,-0.054%,-2.798%
7/6/1981,1678.2,6.3,0.377%,19.594%
7/13/1981,1677.9,-0.3,-0.018%,-0.930%
7/20/1981,1683.5,5.6,0.334%,17.355%
7/27/1981,1685.8,2.3,0.137%,7.104%
8/3/1981,1688.2,2.4,0.142%,7.403%
8/10/1981,1694,5.8,0.344%,17.865%
8/17/1981,1695.2,1.2,0.071%,3.684%
8/24/1981,1697.6,2.4,0.142%,7.362%
8/31/1981,1701.2,3.6,0.212%,11.027%
9/7/1981,1702.3,1.1,0.065%,3.362%
9/14/1981,1707.5,5.2,0.305%,15.884%
9/21/1981,1708.3,0.8,0.047%,2.436%
9/28/1981,1707.8,-0.5,-0.029%,-1.522%
10/5/1981,1714,6.2,0.363%,18.878%
10/12/1981,1719.6,5.6,0.327%,16.989%
10/19/1981,1722.9,3.3,0.192%,9.979%
10/26/1981,1725.3,2.4,0.139%,7.244%
11/2/1981,1727.6,2.3,0.133%,6.932%
11/9/1981,1732.2,4.6,0.266%,13.846%
11/16/1981,1736.2,4,0.231%,12.008%
11/23/1981,1736.6,0.4,0.023%,1.198%
11/30/1981,1743.5,6.9,0.397%,20.661%
12/7/1981,1749.2,5.7,0.327%,17.000%
12/14/1981,1751.5,2.3,0.131%,6.837%
12/21/1981,1755.1,3.6,0.206%,10.688%
12/28/1981,1753.7,-1.4,-0.080%,-4.148%
1/4/1982,1756.5,2.8,0.160%,8.302%
1/11/1982,1761.8,5.3,0.302%,15.690%
1/18/1982,1766.6,4.8,0.272%,14.167%
1/25/1982,1769.5,2.9,0.164%,8.536%
2/1/1982,1773.1,3.6,0.203%,10.579%
2/8/1982,1771.4,-1.7,-0.096%,-4.986%
2/15/1982,1774.3,2.9,0.164%,8.513%
2/22/1982,1775.4,1.1,0.062%,3.224%
3/1/1982,1778.4,3,0.169%,8.787%
3/8/1982,1781.6,3.2,0.180%,9.357%
3/15/1982,1786.2,4.6,0.258%,13.426%
3/22/1982,1789.3,3.1,0.174%,9.025%
3/29/1982,1793.7,4.4,0.246%,12.787%
4/5/1982,1800,6.3,0.351%,18.264%
4/12/1982,1805.2,5.2,0.289%,15.022%
4/19/1982,1806.7,1.5,0.083%,4.321%
4/26/1982,1806.7,0,0.000%,0.000%
5/3/1982,1805.7,-1,-0.055%,-2.878%
5/10/1982,1809.7,4,0.222%,11.519%
5/17/1982,1812.1,2.4,0.133%,6.896%
5/24/1982,1816.5,4.4,0.243%,12.626%
5/31/1982,1821,4.5,0.248%,12.882%
6/7/1982,1823,2,0.110%,5.711%
6/14/1982,1826,3,0.165%,8.557%
6/21/1982,1826.5,0.5,0.027%,1.424%
6/28/1982,1824.6,-1.9,-0.104%,-5.409%
7/5/1982,1827.5,2.9,0.159%,8.265%
7/12/1982,1828.7,1.2,0.066%,3.415%
7/19/1982,1830.4,1.7,0.093%,4.834%
7/26/1982,1834.2,3.8,0.208%,10.795%
8/2/1982,1837,2.8,0.153%,7.938%
8/9/1982,1841.1,4.1,0.223%,11.606%
8/16/1982,1846.1,5,0.272%,14.122%
8/23/1982,1849.9,3.8,0.206%,10.704%
8/30/1982,1853.4,3.5,0.189%,9.838%
9/6/1982,1855.9,2.5,0.135%,7.014%
9/13/1982,1859.2,3.3,0.178%,9.246%
9/20/1982,1861.2,2,0.108%,5.594%
9/27/1982,1860.1,-1.1,-0.059%,-3.073%
10/4/1982,1863.9,3.8,0.204%,10.623%
10/11/1982,1865.5,1.6,0.086%,4.464%
10/18/1982,1869.3,3.8,0.204%,10.592%
10/25/1982,1873.4,4.1,0.219%,11.405%
11/1/1982,1878.8,5.4,0.288%,14.989%
