Date,Value,change,% Change
1/31/1939,29923,,
2/28/1939,30100,177000,0.59%
3/31/1939,30280,180000,0.60%
4/30/1939,30094,-186000,-0.61%
5/31/1939,30299,205000,0.68%
6/30/1939,30502,203000,0.67%
7/31/1939,30419,-83000,-0.27%
8/31/1939,30663,244000,0.80%
9/30/1939,31031,368000,1.20%
10/31/1939,31411,380000,1.22%
11/30/1939,31470,59000,0.19%
12/31/1939,31542,72000,0.23%
1/31/1940,31603,61000,0.19%
2/29/1940,31715,112000,0.35%
3/31/1940,31825,110000,0.35%
4/30/1940,31701,-124000,-0.39%
5/31/1940,31879,178000,0.56%
6/30/1940,31977,98000,0.31%
7/31/1940,31942,-35000,-0.11%
8/31/1940,32352,410000,1.28%
9/30/1940,32810,458000,1.42%
10/31/1940,33267,457000,1.39%
11/30/1940,33669,402000,1.21%
12/31/1940,34174,505000,1.50%
1/31/1941,34481,307000,0.90%
2/28/1941,34843,362000,1.05%
3/31/1941,35092,249000,0.71%
4/30/1941,35468,376000,1.07%
5/31/1941,36182,714000,2.01%
6/30/1941,36650,468000,1.29%
7/31/1941,37137,487000,1.33%
8/31/1941,37544,407000,1.10%
9/30/1941,37835,291000,0.78%
10/31/1941,37949,114000,0.30%
11/30/1941,38024,75000,0.20%
12/31/1941,38104,80000,0.21%
1/31/1942,38347,243000,0.64%
2/28/1942,38512,165000,0.43%
3/31/1942,38935,423000,1.10%
4/30/1942,39352,417000,1.07%
5/31/1942,39771,419000,1.06%
6/30/1942,40029,258000,0.65%
7/31/1942,40472,443000,1.11%
8/31/1942,40988,516000,1.27%
9/30/1942,41259,271000,0.66%
10/31/1942,41515,256000,0.62%
11/30/1942,41674,159000,0.38%
12/31/1942,41915,241000,0.58%
1/31/1943,42172,257000,0.61%
2/28/1943,42393,221000,0.52%
3/31/1943,42552,159000,0.38%
4/30/1943,42647,95000,0.22%
5/31/1943,42596,-51000,-0.12%
6/30/1943,42781,185000,0.43%
7/31/1943,42700,-81000,-0.19%
8/31/1943,42546,-154000,-0.36%
9/30/1943,42492,-54000,-0.13%
10/31/1943,42675,183000,0.43%
11/30/1943,42821,146000,0.34%
12/31/1943,42746,-75000,-0.18%
1/31/1944,42654,-92000,-0.22%
2/29/1944,42538,-116000,-0.27%
3/31/1944,42294,-244000,-0.57%
4/30/1944,42063,-231000,-0.55%
5/31/1944,41985,-78000,-0.19%
6/30/1944,41947,-38000,-0.09%
7/31/1944,41904,-43000,-0.10%
8/31/1944,41850,-54000,-0.13%
9/30/1944,41679,-171000,-0.41%
10/31/1944,41708,29000,0.07%
